hotel_id,star_number,total_number_reviews,overall_score,location_score,sleep_quality_score,meal_score,service_score,cleanliness_score
34566,4.0,34,8.576470588235296,7.829411764705884,9.6,-1.0,8.658823529411764,9.0
34570,4.0,4,8.2,8.8,-1.0,-1.0,7.5,7.5
34577,5.0,2,10.0,10.0,-1.0,-1.0,10.0,10.0
33052,2.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34585,3.0,110,9.492727272727274,9.278181818181817,9.4,-1.0,9.721818181818183,9.5
33053,3.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34593,-1.0,22,8.3,8.9,8.4,-1.0,8.6,8.0
34596,4.0,24,9.1,9.2,9.2,-1.0,9.200000000000001,9.2
34598,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34605,3.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34611,0.0,68,8.0,8.1,7.8,-1.0,8.1,7.9
34612,5.0,12,9.083333333333334,8.75,9.0,-1.0,9.166666666666666,8.75
33058,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34620,0.0,84,9.15,9.5,9.2,-1.0,9.0,9.8
34622,4.0,2,8.3,10.0,-1.0,-1.0,10.0,7.5
34623,4.0,12,6.8500000000000005,8.8,6.7,-1.0,7.099999999999999,6.7
34626,0.0,164,8.3,8.2,8.3,-1.0,8.100000000000001,8.9
34630,-1.0,220,9.1,9.5,9.4,-1.0,9.4,9.5
34632,0.0,118,8.111864406779661,8.652542372881356,8.1,-1.0,8.142372881355932,7.693220338983051
33062,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33064,4.0,2,8.0,8.0,-1.0,-1.0,8.0,8.0
33065,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34654,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33066,3.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34665,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34668,4.0,16,7.95,9.4,8.1,-1.0,7.5,8.8
34669,4.0,96,8.8,9.3,8.6,-1.0,8.700000000000001,9.1
34673,-1.0,24,7.7,6.900000000000001,8.3,-1.0,7.7,7.900000000000001
34675,-1.0,288,8.9,8.7,8.9,-1.0,8.9,9.0
34677,-0.0,24,9.0,9.4,9.0,-1.0,8.8,9.0
33068,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34691,-1.0,6,7.7,9.2,8.3,-1.0,8.3,8.3
34693,-1.0,8,7.1,6.9,7.5,-1.0,6.9,7.5
33071,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34695,0.0,168,8.45,8.9,8.2,-1.0,8.75,8.1
33073,5.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34714,-1.0,232,8.2,8.4,8.1,-1.0,8.1,8.1
34715,0.0,228,8.7,8.5,8.8,-1.0,8.799999999999999,8.9
34722,0.0,80,8.3825,8.4475,8.9,-1.0,8.53,8.8575
34733,-1.0,24,8.4,8.5,7.900000000000001,-1.0,7.5,8.1
34734,0.0,132,7.4,8.2,7.6,-1.0,7.0,7.5
34742,4.0,6,7.400000000000001,6.7,7.5,-1.0,7.5,7.5
34751,0.0,560,8.45,8.8,8.5,-1.0,8.3,8.5
34754,3.0,212,8.9,9.699999999999998,8.8,-1.0,8.7,8.7
33081,4.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
